
nk	Name	English Name	Country	Population	Remark
508	Nürnberg	Nuremberg	Germany	1,030,000	
512	Angeles	Angeles	Philippines	1,020,000	
512	Hubli-Dhārwār	Hubli-Dharwar	India	1,020,000	
512	Mudanjiang	Mudanjiang	China	1,020,000	
512	Richmond	Richmond	United States of America	1,020,000	
512	Solāpur	Sholapur	India	1,020,000	
512	Zaozhuang	Zaozhuang	China	1,020,000	
518	Alīgarh	Alīgarh	India	1,010,000	
518	Antwerpen	Antwerp	Belgium	1,010,000	
518	Bangui	Bangui	Central African Republic	1,010,000	
518	Zhenjiang	Zhenjiang	China	1,010,000	
522	Jinzhou	Jinzhou	China	1,000,000	
522	Lianyungang	Lianyungang	China	1,000,000	
522	Morādābād	Morādābād	India	1,000,000	
522	Salem	Salem	India	1,000,000	
