subj block task lag t2in correct1 correct2
paloma b training 2 1 True 1.00
paloma b training 1 1 False 1.00
paloma b training 1 1 True 1.00
paloma b training 2 1 True 0.00
paloma b training 2 1 True 1.00
paloma b training 1 1 True 1.00
paloma b training 1 1 True 1.00
paloma b training 1 0 True 1.00
paloma b training 2 1 True 0.00
paloma b training 3 1 True 0.00
paloma b training 1 1 False 1.00
paloma b training 3 1 True 0.00
paloma b training 2 1 True 0.00
paloma b training 3 1 True 1.00
paloma b training 3 0 False 1.00
paloma b training 3 1 False 1.00
paloma b training 2 1 False 0.00
paloma b training 3 0 True 1.00
paloma b training 1 1 True 1.00
paloma b training 2 1 True 1.00
paloma b training 1 0 True 0.00
paloma b training 1 1 False 1.00
paloma b training 3 1 True 0.00
paloma b training 1 1 True 0.00
paloma b training 2 0 True 1.00
paloma b training 5 0 True 1.00
paloma b training 5 0 True 1.00
paloma b training 6 1 True 0.00
paloma b training 6 1 True 0.00
paloma b training 5 1 True 0.00
paloma b training 4 1 True 1.00
paloma b training 6 1 True 1.00
paloma b training 5 1 True 0.00
paloma b training 5 1 True 1.00
paloma b training 4 1 True 0.00
paloma b training 5 1 True 0.00
paloma b training 6 0 False 1.00
paloma b training 4 1 True 0.00
paloma b training 6 1 True 1.00
paloma b training 4 1 True 0.00
paloma b training 4 0 True 0.00
paloma b training 4 1 True 0.00
paloma b training 5 0 True 0.00
paloma b training 5 1 True 0.00
paloma b training 6 1 True 1.00
paloma b training 4 1 True 1.00
paloma b training 4 1 True 0.00
paloma b training 4 1 True 1.00
paloma b training 4 1 False 0.00
paloma b training 6 1 True 1.00
paloma b training 5 1 True 0.00
paloma b training 5 1 True 1.00
paloma b training 5 0 False 0.00
paloma b training 4 1 True 0.00
paloma b training 4 1 True 0.00
paloma b training 4 1 True 1.00
paloma b training 5 1 True 0.00
paloma b training 6 1 True 1.00
paloma b training 5 1 True 0.00
paloma b training 6 1 False 0.00
paloma b training 6 1 True 1.00
paloma b training 6 1 True 0.00
paloma b training 5 1 True 0.00
paloma b training 5 1 True 0.00
paloma b training 5 1 True 0.00
paloma b training 8 0 True 1.00
paloma b training 7 0 True 1.00
paloma b training 8 1 True 1.00
paloma b training 7 1 True 1.00
paloma b training 8 1 False 1.00
paloma b training 9 1 True 1.00
paloma b training 8 1 False 0.00
paloma b training 9 0 True 1.00
paloma b training 9 1 True 1.00
paloma b training 8 0 False 1.00
paloma b training 8 1 True 1.00
paloma b training 8 1 False 0.00
paloma b training 8 0 True 1.00
paloma b training 8 1 True 0.00
paloma b training 7 0 True 1.00
paloma b training 8 1 True 1.00
paloma b training 7 1 False 0.00
paloma b training 7 1 True 1.00
paloma b training 8 1 True 1.00
paloma b training 8 1 True 1.00
paloma b training 9 1 True 1.00
paloma b training 7 1 True 0.00
paloma b training 9 1 True 1.00
paloma b training 8 1 True 1.00
paloma b training 7 1 True 1.00
paloma b training 9 1 True 1.00
paloma b training 7 1 True 0.00
paloma b training 9 1 True 1.00
paloma b training 7 1 True 1.00
paloma b training 8 1 True 1.00
paloma b training 8 0 False 1.00
paloma b training 9 1 True 1.00
paloma b training 9 0 False 1.00
paloma b training 7 0 True 1.00
paloma b training 9 1 True 0.00
paloma b training 7 0 True 1.00
paloma b training 8 1 True 0.00
paloma b training 7 1 True 1.00
paloma b training 7 0 True 1.00
paloma b training 9 1 True 1.00
paloma b retest 3 1 True 1.00
paloma b retest 0 0 True 1.00
paloma b retest 8 1 True 1.00
paloma b retest 0 0 True 1.00
paloma b retest 0 0 True 1.00
paloma b retest 6 1 True 1.00
paloma b retest 8 1 True 1.00
paloma b retest 8 1 True 0.00
paloma b retest 4 1 True 1.00
paloma b retest 4 1 True 0.00
paloma b retest 3 1 False 0.00
paloma b retest 0 0 True 1.00
paloma b retest 4 1 True 0.00
paloma b retest 5 1 True 0.00
paloma b retest 1 1 True 1.00
paloma b retest 2 1 True 1.00
paloma b retest 0 0 True 1.00
paloma b retest 0 0 True 1.00
paloma b retest 8 1 True 0.00
paloma b retest 2 1 True 1.00
paloma b retest 2 1 True 0.00
paloma b retest 8 1 True 1.00
paloma b retest 2 1 True 0.00
paloma b retest 0 0 True 1.00
paloma b retest 0 0 True 1.00
paloma b retest 8 1 True 1.00
paloma b retest 4 1 True 0.00
paloma b retest 1 1 True 0.00
paloma b retest 0 0 True 1.00
paloma b retest 0 0 True 1.00
paloma b retest 1 1 True 0.00
paloma b retest 7 1 True 1.00
paloma b retest 0 0 True 1.00
paloma b retest 3 1 True 1.00
paloma b retest 0 0 True 1.00
paloma b retest 0 0 True 1.00
paloma b retest 6 1 True 0.00
paloma b retest 6 1 True 0.00
paloma b retest 5 1 True 1.00
paloma b retest 6 1 True 0.00
paloma b retest 0 0 True 1.00
paloma b retest 1 1 False 1.00
paloma b retest 6 1 True 1.00
paloma b retest 7 1 True 1.00
paloma b retest 4 1 True 0.00
paloma b retest 2 1 True 0.00
paloma b retest 5 1 True 1.00
paloma b retest 3 1 True 0.00
paloma b retest 5 1 True 1.00
paloma b retest 0 0 True 1.00
paloma b retest 0 0 True 0.00
paloma b retest 2 1 True 0.00
paloma b retest 8 1 True 1.00
paloma b retest 1 1 True 0.00
paloma b retest 0 0 True 1.00
paloma b retest 4 1 True 0.00
paloma b retest 6 1 True 1.00
paloma b retest 5 1 True 0.00
paloma b retest 3 1 True 1.00
paloma b retest 1 1 False 1.00
paloma b retest 4 1 True 1.00
paloma b retest 2 1 True 0.00
paloma b retest 7 1 True 1.00
paloma b retest 8 1 True 1.00
paloma b retest 7 1 True 1.00
paloma b retest 5 1 True 1.00
paloma b retest 3 1 True 1.00
paloma b retest 7 1 True 1.00
paloma b retest 7 1 True 1.00
paloma b retest 5 1 True 1.00
paloma b retest 0 0 False 0.00
paloma b retest 4 1 True 0.00
paloma b retest 6 1 True 1.00
paloma b retest 5 1 True 1.00
paloma b retest 7 1 True 1.00
paloma b retest 0 0 True 0.00
paloma b retest 1 1 False 0.00
paloma b retest 6 1 True 1.00
paloma b retest 7 1 True 1.00
paloma b retest 0 0 True 1.00
paloma b retest 2 1 True 0.00
paloma b retest 3 1 True 0.00
paloma b retest 1 1 True 0.00
paloma b retest 3 1 False 0.00
Francisco b training 0 0 False 0.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 0.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 0.00
Francisco b training 0 0 False 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 0.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 False 1.00
Francisco b training 0 0 True 0.00
Francisco b training 0 0 True 0.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 0.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 False 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 0.00
Francisco b training 0 0 True 0.00
Francisco b training 0 0 True 1.00
Francisco b training 0 0 True 1.00
Francisco b training 1 1 True 1.00
Francisco b training 1 1 True 0.00
Francisco b training 1 1 True 1.00
Francisco b training 1 1 True 0.00
Francisco b training 1 1 True 1.00
Francisco b training 1 1 False 1.00
Francisco b training 1 1 True 1.00
Francisco b training 1 1 True 1.00
Francisco b training 1 1 True 1.00
Francisco b training 1 1 True 1.00
Francisco b training 2 1 True 1.00
Francisco b training 2 1 True 1.00
Francisco b training 2 1 True 1.00
Francisco b training 2 1 True 1.00
Francisco b training 2 1 True 1.00
Francisco b training 2 1 True 1.00
Francisco b training 2 1 True 1.00
Francisco b training 2 1 True 1.00
Francisco b training 2 1 True 1.00
Francisco b training 2 1 True 1.00
Francisco b training 3 1 True 1.00
Francisco b training 3 1 True 0.00
Francisco b training 3 1 True 0.00
Francisco b training 3 1 True 0.00
Francisco b training 3 1 True 0.00
Francisco b training 3 1 True 0.00
Francisco b training 3 1 True 1.00
Francisco b training 3 1 True 1.00
Francisco b training 3 1 True 1.00
Francisco b training 3 1 True 1.00
Francisco b training 4 1 True 1.00
Francisco b training 4 1 True 0.00
Francisco b training 4 1 True 0.00
Francisco b training 4 1 True 0.00
Francisco b training 4 1 True 0.00
Francisco b training 4 1 True 0.00
Francisco b training 4 1 True 1.00
Francisco b training 4 1 True 0.00
Francisco b training 4 1 True 1.00
Francisco b training 4 1 True 1.00
Francisco b training 5 1 True 1.00
Francisco b training 5 1 True 0.00
Francisco b training 5 1 True 0.00
Francisco b training 5 1 True 1.00
Francisco b training 5 1 True 1.00
Francisco b training 5 1 True 1.00
Francisco b training 5 1 True 1.00
Francisco b training 5 1 True 1.00
Francisco b training 5 1 True 1.00
Francisco b training 5 1 True 1.00
Francisco b training 6 1 True 1.00
Francisco b training 6 1 True 1.00
Francisco b training 6 1 True 1.00
Francisco b training 6 1 False 1.00
Francisco b training 6 1 True 1.00
Francisco b training 6 1 True 1.00
Francisco b training 6 1 True 1.00
Francisco b training 6 1 True 1.00
Francisco b training 6 1 True 0.00
Francisco b training 6 1 True 1.00
Francisco b training 7 1 True 1.00
Francisco b training 7 1 True 1.00
Francisco b training 7 1 True 1.00
Francisco b training 7 1 True 1.00
Francisco b training 7 1 True 0.00
Francisco b training 7 1 True 1.00
Francisco b training 7 1 True 1.00
Francisco b training 7 1 True 1.00
Francisco b training 7 1 False 0.00
Francisco b training 7 1 True 1.00
Francisco b training 8 1 True 1.00
Francisco b training 8 1 True 1.00
Francisco b training 8 1 True 0.00
Francisco b training 8 1 True 1.00
Francisco b training 8 1 True 1.00
Francisco b training 8 1 True 1.00
Francisco b training 8 1 True 1.00
Francisco b training 8 1 True 1.00
Francisco b training 8 1 True 1.00
Francisco b training 8 1 True 1.00
Francisco b retest 5 1 False 0.00
Francisco b retest 4 1 True 0.00
Francisco b retest 6 1 True 1.00
Francisco b retest 4 1 True 1.00
Francisco b retest 8 1 True 1.00
Francisco b retest 5 1 True 1.00
Francisco b retest 6 1 True 1.00
Francisco b retest 1 1 True 1.00
Francisco b retest 1 1 True 1.00
Francisco b retest 4 1 True 1.00
Francisco b retest 3 1 True 1.00
Francisco b retest 0 0 True 1.00
Francisco b retest 4 1 True 1.00
Francisco b retest 3 1 True 1.00
Francisco b retest 7 1 True 1.00
